"","id","DateTime","lat","lon","alt","HDOP","temp","qi","pTime","sTime","pDist","sDist","pSpeed","sSpeed"
"1",45505,2020-08-28 00:00:13,-45.76029,170.61196,332.25,37.1,19.5,4,NA,8.99805555555556,NA,1.58469021103074,NA,0.176114739595303
"2",45505,2020-08-28 09:00:06,-45.77081,170.59821,332.02,7.1,31,4,8.99805555555556,2.99888888888889,1.58469021103074,0.617031292858264,0.176114739595303,0.20575330254629
"3",45505,2020-08-28 12:00:02,-45.77605,170.60083,331.43,1.7,23.5,6,2.99888888888889,6.00083333333333,0.617031292858264,0.643019341240178,0.20575330254629,0.107155007566757
"4",45505,2020-08-28 18:00:05,-45.77046,170.5987,331.46,1.7,31.5,4,6.00083333333333,2.99972222222222,0.643019341240178,0.0695842675065699,0.107155007566757,0.0231969036969767
"5",45505,2020-08-28 21:00:04,-45.76989,170.59833,286.32,5.2,23,5,2.99972222222222,2.99972222222222,0.0695842675065699,0.291033455681736,0.0231969036969767,0.0970201352397676
"6",45505,2020-08-29 00:00:03,-45.76751,170.59677,286.33,128.1,28,4,2.99972222222222,3,0.291033455681736,0.132893424803229,0.0970201352397676,0.0442978082677429
"7",45505,2020-08-29 03:00:03,-45.7672,170.59842,286.03,2,32,5,3,3,0.132893424803229,0.772525983121939,0.0442978082677429,0.257508661040646
"8",45505,2020-08-29 06:00:03,-45.7724,170.59183,286.08,2.4,28,4,3,2.99805555555556,0.772525983121939,0.901376123691164,0.257508661040646,0.300653575955544
"9",45505,2020-08-29 08:59:56,-45.77735,170.58265,139.4,1.6,29,6,2.99805555555556,3.00083333333333,0.901376123691164,0.0886648564594389,0.300653575955544,0.0295467447240563
"10",45505,2020-08-29 11:59:59,-45.77772,170.58366,-156.25,1.5,29,5,3.00083333333333,3.00027777777778,0.0886648564594389,1.33296940050192,0.0295467447240563,0.444281996278764
"11",45505,2020-08-29 15:00:00,-45.77604,170.60063,215.31,1.5,27.5,7,3.00027777777778,2.99944444444444,1.33296940050192,1.01270849047299,0.444281996278764,0.337632021272714
"12",45505,2020-08-29 17:59:58,-45.76702,170.59879,196.2,1.3,28.5,7,2.99944444444444,11.9983333333333,1.01270849047299,0.482668699331935,0.337632021272714,0.0402279788302766
"13",45505,2020-08-30 05:59:52,-45.7713,170.59984,323.22,1.1,28.5,7,11.9983333333333,3.00138888888889,0.482668699331935,0.180677389843707,0.0402279788302766,0.0601979272038264
"14",45505,2020-08-30 08:59:57,-45.77045,170.59786,323.22,5.9,31.5,4,3.00138888888889,2.99833333333333,0.180677389843707,0.0932823729874305,0.0601979272038264,0.0311114084449462
"15",45505,2020-08-30 11:59:51,-45.7701,170.59895,289.57,1,27,8,2.99833333333333,3.00027777777778,0.0932823729874305,0.0582067638248192,0.0311114084449462,0.0194004582695444
"16",45505,2020-08-30 14:59:52,-45.77061,170.59878,261.65,2.7,29,6,3.00027777777778,2.99944444444444,0.0582067638248192,0.260049379320516,0.0194004582695444,0.0866991818442173
"17",45505,2020-08-30 17:59:50,-45.76844,170.59753,261.39,2,29,6,2.99944444444444,3.00111111111111,0.260049379320516,0.61597394872829,0.0866991818442173,0.205248631564406
"18",45505,2020-08-30 20:59:54,-45.77194,170.59139,261.42,2.2,29,4,3.00111111111111,3.00027777777778,0.61597394872829,0.690796705219807,0.205248631564406,0.230244249494612
"19",45505,2020-08-30 23:59:55,-45.76772,170.59791,261.39,3.8,29.5,3,3.00027777777778,5.99972222222222,0.690796705219807,0.129390112756189,0.230244249494612,0.0215660172194213
"20",45505,2020-08-31 05:59:54,-45.76696,170.59665,261.39,6.6,29,4,5.99972222222222,2.99972222222222,0.129390112756189,0.314478678362095,0.0215660172194213,0.104835933151546
"21",45505,2020-08-31 08:59:53,-45.76949,170.59846,264.93,4,27.5,5,2.99972222222222,2.99805555555556,0.314478678362095,0.0405681565240358,0.104835933151546,0.013531489251045
"22",45505,2020-08-31 11:59:46,-45.76974,170.59884,253.69,2.2,23.5,6,2.99805555555556,3.00166666666667,0.0405681565240358,0.0837222332367011,0.013531489251045,0.0278919155702502
"23",45505,2020-08-31 14:59:52,-45.77049,170.59894,253.69,4.5,25.5,3,3.00166666666667,2.99805555555556,0.0837222332367011,0.632515635138776,0.0278919155702502,0.210975288288668
"24",45505,2020-08-31 17:59:45,-45.76535,170.59545,203.19,1.3,19,7,2.99805555555556,3.00111111111111,0.632515635138776,0.624471802868876,0.210975288288668,0.208080200881891
"25",45505,2020-08-31 20:59:49,-45.76966,170.6006,317.38,1.3,19.5,7,3.00111111111111,3.00027777777778,0.624471802868876,0.328468042730259,0.208080200881891,0.109479210612807
"26",45505,2020-08-31 23:59:50,-45.76943,170.59639,217.88,1.8,21.5,5,3.00027777777778,3,0.328468042730259,0.0506745023056292,0.109479210612807,0.0168915007685431
"27",45505,2020-09-01 02:59:50,-45.76957,170.59701,217.88,9.4,26,4,3,2.99944444444444,0.0506745023056292,0.781682305491332,0.0168915007685431,0.260609029428486
"28",45505,2020-09-01 05:59:48,-45.77616,170.60052,291.73,2.4,24,5,2.99944444444444,2.99833333333333,0.781682305491332,0.670228788324646,0.260609029428486,0.223533781542406
"29",45505,2020-09-01 08:59:42,-45.77021,170.59912,269.01,2.4,33,7,2.99833333333333,3.00055555555556,0.670228788324646,0.0163726559612849,0.223533781542406,0.00545654151644377
"30",45505,2020-09-01 11:59:44,-45.7701,170.59898,272.81,1.2,31.5,6,3.00055555555556,2.99916666666667,0.0163726559612849,0.00813965460209246,0.00545654151644377,0.00271397208183133
"31",45505,2020-09-01 14:59:41,-45.77016,170.59892,273.83,1.5,26,7,2.99916666666667,3.00166666666667,0.00813965460209246,0.0209733617425224,0.00271397208183133,0.00698723878151772
"32",45505,2020-09-01 17:59:47,-45.77011,170.59918,273.83,3.7,23.5,4,3.00166666666667,2.99833333333333,0.0209733617425224,0.348546615551094,0.00698723878151772,0.116246786731882
"33",45505,2020-09-01 20:59:41,-45.76729,170.59722,202.49,1.2,23,7,2.99833333333333,3.00027777777778,0.348546615551094,0.142164159011562,0.116246786731882,0.0473836656274072
"34",45505,2020-09-01 23:59:42,-45.76613,170.59799,222.06,1.5,24.5,6,3.00027777777778,3.00083333333333,0.142164159011562,0.101821512161643,0.0473836656274072,0.0339310787542269
"35",45505,2020-09-02 02:59:45,-45.767,170.59758,238.47,2,32,5,3.00083333333333,6,0.101821512161643,0.659532218707955,0.0339310787542269,0.109922036451326
"36",45505,2020-09-02 08:59:45,-45.76154,170.6009,238.51,5.1,31,3,6,5.99805555555556,0.659532218707955,0.869396578725745,0.109922036451326,0.144946403159018
"37",45505,2020-09-02 14:59:38,-45.7688,170.59674,195.94,2.3,27,6,5.99805555555556,6.00111111111111,0.869396578725745,0.294663341864013,0.144946403159018,0.0491014641136108
"38",45505,2020-09-02 20:59:42,-45.77145,170.59663,195.95,49.2,27,4,6.00111111111111,3,0.294663341864013,0.843047314138267,0.0491014641136108,0.281015771379422
