"","id","DateTime","lat","lon","alt","HDOP","temp","qi","pTime","sTime","pDist","sDist","pSpeed","sSpeed"
"1",45505,2020-09-23 02:00:07,-45.74102,170.59972,68.35,1.6,24,7,NA,0.250555555555556,NA,0.017213254660913,NA,0.0687003511965485
"2",45505,2020-09-23 02:15:09,-45.74093,170.5999,30.42,1.5,24,5,0.250555555555556,1.74972222222222,0.017213254660913,0.304417788550923,0.0687003511965485,0.173980638003385
"3",45505,2020-09-23 04:00:08,-45.74313,170.59757,30.48,2.2,24.5,5,1.74972222222222,1.99972222222222,0.304417788550923,0.680731238891953,0.173980638003385,0.340412899015284
"4",45505,2020-09-23 06:00:07,-45.73711,170.59918,45.66,1.5,22.5,6,1.99972222222222,2.00027777777778,0.680731238891953,0.887368951466125,0.340412899015284,0.443622861446751
"5",45505,2020-09-23 08:00:08,-45.74508,170.59985,45.72,9,26.5,3,2.00027777777778,3.99861111111111,0.887368951466125,0.0154417361935139,0.443622861446751,0.00386177494245571
"6",45505,2020-09-23 12:00:03,-45.7452,170.59995,83.83,1.4,29,6,3.99861111111111,2.00027777777778,0.0154417361935139,0.0154417276351011,0.00386177494245571,0.00771979162426942
"7",45505,2020-09-23 14:00:04,-45.74533,170.59988,83.83,5.3,27,4,2.00027777777778,1.99861111111111,0.0154417276351011,0.0169035310377711,0.00771979162426942,0.00845763887921834
"8",45505,2020-09-23 15:59:59,-45.74522,170.59973,100.87,1.3,26,7,1.99861111111111,2.00138888888889,0.0169035310377711,0.293280680939681,0.00845763887921834,0.146538577568751
"9",45505,2020-09-23 18:00:04,-45.74367,170.59668,41.91,4.9,20.5,6,2.00138888888889,1.99972222222222,0.293280680939681,0.348171595426981,0.146538577568751,0.174109979655109
"10",45505,2020-09-23 20:00:03,-45.74659,170.5983,141.31,1.3,25,6,1.99972222222222,1.99861111111111,0.348171595426981,0.753204164473122,0.174109979655109,0.376863793204064
"11",45505,2020-09-23 21:59:58,-45.73982,170.59873,29.33,1.1,28,7,1.99861111111111,2.00194444444444,0.753204164473122,0.413885776744275,0.376863793204064,0.206741889313083
